q,I
2.039995199999999811e-03,5.371559984609030301e-03
2.884988900000000096e-03,5.371434969046290711e-03
4.079990399999999622e-03,5.371184948230466570e-03
4.561568000000000220e-03,5.371059942977174720e-03
5.769977800000000191e-03,5.370684947834457323e-03
6.119985599999999866e-03,5.370559956325582536e-03
6.451031299999999968e-03,5.370434968252547035e-03
7.355307299999999833e-03,5.370060024647377306e-03
8.159980799999999243e-03,5.369685111960864100e-03
8.411115699999999196e-03,5.369560147935671310e-03
8.654966599999999385e-03,5.369435187345450444e-03
9.123135799999999504e-03,5.369185276469506420e-03
1.019997589999999989e-02,5.368560559384207877e-03
1.040197520000000000e-02,5.368435626269923468e-03
1.098571020000000016e-02,5.368060847530689746e-03
1.153995529999999985e-02,5.367686099694621467e-03
1.189511369999999950e-02,5.367436284970914656e-03
1.223997100000000053e-02,5.367186483979789757e-03
1.240880609999999926e-02,5.367061588633676751e-03
1.290206219999999980e-02,5.366686923191874362e-03
1.306234239999999949e-02,5.366562041576422061e-03
1.368470339999999959e-02,5.366062549437487263e-03
1.427996599999999984e-02,5.365563112210022800e-03
1.442494390000000071e-02,5.365438261482250934e-03
1.471061409999999993e-02,5.365188570320915395e-03
1.485138870000000076e-02,5.365063729887114066e-03
1.553614000000000037e-02,5.364439579182577258e-03
1.593287120000000043e-02,5.364065129927539539e-03
1.631996089999999955e-02,5.363690711544726736e-03
1.644696630000000090e-02,5.363565912277099175e-03
1.682223050000000025e-02,5.363191535052738886e-03
1.730993239999999850e-02,5.362692413432702636e-03
1.742972569999999902e-02,5.362567641600618495e-03
1.754870130000000042e-02,5.362442873197494596e-03
1.824627070000000087e-02,5.361694334780891559e-03
1.835995569999999966e-02,5.361569590377474395e-03
1.847294110000000100e-02,5.361444849402155315e-03
1.880782519999999944e-02,5.361070647043722319e-03
1.924527490000000132e-02,5.360571758552708233e-03
1.935309240000000069e-02,5.360447044998328803e-03
2.009162109999999835e-02,5.359574146071398662e-03
2.019492059999999922e-02,5.359449459931091113e-03
2.039995039999999843e-02,5.359200097929187057e-03
2.050169640000000168e-02,5.359075422067380648e-03
2.080394890000000080e-02,5.358701415037243725e-03
2.100303430000000082e-02,5.358452094145513094e-03
2.129817330000000064e-02,5.358078138498265433e-03
2.168544450000000137e-02,5.357579578919464784e-03
2.197141860000000058e-02,5.357205695194721534e-03
2.206591980000000008e-02,5.357081074135326866e-03
2.243994499999999934e-02,5.356582624139016868e-03
2.253248119999999924e-02,5.356458020199726146e-03
2.280783739999999934e-02,5.356084228923671357e-03
2.307990860000000075e-02,5.355710468458031552e-03
2.325952140000000015e-02,5.355461311929743916e-03
2.379022509999999951e-02,5.354713924489799479e-03
2.387752890000000017e-02,5.354589371894798687e-03
2.447993949999999891e-02,5.353717599542558853e-03
2.456479220000000116e-02,5.353593074321334050e-03
2.464935279999999965e-02,5.353468552521346499e-03
2.481760959999999849e-02,5.353219519184648605e-03
2.490131170000000130e-02,5.353095007647737033e-03
2.523334379999999863e-02,5.352596995707146338e-03
2.556106320000000112e-02,5.352099038492664704e-03
2.580412149999999905e-02,5.351725606491701363e-03
2.596489630000000173e-02,5.351476668922725347e-03
2.612468180000000056e-02,5.351227745031453265e-03
2.651993379999999928e-02,5.350605495137451470e-03
2.659827940000000085e-02,5.350481055415092467e-03
2.683194360000000153e-02,5.350107756758944351e-03
2.721692649999999866e-02,5.349485660695483744e-03
2.736940339999999888e-02,5.349236846194791589e-03
2.744532419999999931e-02,5.349112444070745070e-03
2.774693010000000085e-02,5.348614869747338185e-03
2.834051430000000121e-02,5.347619885107721995e-03
2.841384049999999897e-02,5.347495527401375029e-03
2.855992799999999832e-02,5.347246822236534011e-03
2.863269220000000045e-02,5.347122474777826588e-03
2.884988380000000005e-02,5.346749452895372713e-03
2.899377430000000047e-02,5.346500788717347200e-03
2.920828110000000047e-02,5.346127818063643733e-03
2.942122390000000143e-02,5.345754878143298833e-03
2.970277299999999829e-02,5.345257672718684537e-03
3.012016249999999867e-02,5.344511967001831614e-03
3.032670299999999999e-02,5.344139160226152145e-03
3.059992200000000162e-02,5.343642132308363060e-03
3.066784640000000048e-02,5.343517883860885408e-03
3.087072290000000135e-02,5.343145158993501190e-03
3.107227489999999856e-02,5.342772464836459227e-03
3.113916889999999993e-02,5.342648240274767285e-03
3.120591959999999970e-02,5.342524019124933812e-03
3.166923519999999964e-02,5.341654566598355407e-03
3.173487090000000344e-02,5.341530372739297476e-03
3.186573689999999681e-02,5.341281995253740339e-03
3.193096869999999948e-02,5.341157811626976587e-03
3.225514909999999819e-02,5.340536944649331742e-03
3.263991580000000226e-02,5.339792016805536452e-03
3.270360349999999749e-02,5.339667874098349455e-03
3.289392669999999935e-02,5.339295466431966813e-03
3.295712349999999763e-02,5.339171337361208608e-03
3.320870809999999784e-02,5.338674855165534590e-03
3.345840099999999873e-02,5.338178427504525550e-03
3.364445469999999966e-02,5.337806142543065520e-03
3.376792089999999802e-02,5.337557969607255315e-03
3.395227840000000080e-02,5.337185735759209133e-03
3.419654240000000178e-02,5.336689471661240809e-03
3.461985769999999935e-02,5.335821140644076387e-03
3.467990950000000155e-02,5.335697106980617430e-03
3.473985749999999872e-02,5.335573076723022605e-03
3.485944419999999905e-02,5.335325026424966519e-03
3.491908400000000301e-02,5.335201006384309233e-03
3.509739530000000052e-02,5.334828966694494211e-03
3.521576790000000012e-02,5.334580957260347603e-03
3.562697489999999689e-02,5.333713031489591659e-03
3.568533189999999883e-02,5.333589055711219183e-03
3.609118929999999975e-02,5.332721320570107254e-03
3.614879690000000201e-02,5.332597372021133202e-03
3.632107169999999885e-02,5.332225546793033927e-03
3.649253310000000194e-02,5.331853752190776792e-03
3.671990299999999818e-02,5.331358073689774352e-03
3.677652580000000115e-02,5.331234162570105614e-03
3.694587359999999820e-02,5.330862449622853286e-03
3.722640800000000250e-02,5.330242996076791154e-03
3.744932249999999990e-02,5.329747494461720830e-03
3.750484409999999685e-02,5.329623627560086709e-03
