q,I
2.039995199999999811e-03,6.005605850439670306e-04
2.884988900000000096e-03,6.005472481782971354e-04
4.079990399999999622e-03,6.005205753377906505e-04
4.561568000000000220e-03,6.005072393629414841e-04
5.769977800000000191e-03,6.004672332199268055e-04
6.119985599999999866e-03,6.004538984327444659e-04
6.451031299999999968e-03,6.004405639424629767e-04
7.355307299999999833e-03,6.004005622529527035e-04
8.159980799999999243e-03,6.003605632353068962e-04
8.411115699999999196e-03,6.003472308231417318e-04
8.654966599999999385e-03,6.003338987078233159e-04
9.123135799999999504e-03,6.003072353677022270e-04
1.019997589999999989e-02,6.002405822117642996e-04
1.040197520000000000e-02,6.002272524709857931e-04
1.098571020000000016e-02,6.001872650293502099e-04
1.153995529999999985e-02,6.001472802586241273e-04
1.189511369999999950e-02,6.001206252285585900e-04
1.223997100000000053e-02,6.000939713854305368e-04
1.240880609999999926e-02,6.000806449089515597e-04
1.290206219999999980e-02,6.000406672597781736e-04
1.306234239999999949e-02,6.000273419701191531e-04
1.368470339999999959e-02,5.999740437782982326e-04
1.427996599999999984e-02,5.999207503330683446e-04
1.442494390000000071e-02,5.999074277133640762e-04
1.471061409999999993e-02,5.998807833638383248e-04
1.485138870000000076e-02,5.998674616340011210e-04
1.553614000000000037e-02,5.998008574338178998e-04
1.593287120000000043e-02,5.997608984726689489e-04
1.631996089999999955e-02,5.997209421805230374e-04
1.644696630000000090e-02,5.997076240095534439e-04
1.682223050000000025e-02,5.996676712757998285e-04
1.730993239999999850e-02,5.996144051152319920e-04
1.742972569999999902e-02,5.996010893163130880e-04
1.754870130000000042e-02,5.995877738138712196e-04
1.824627070000000087e-02,5.995078870248554681e-04
1.835995569999999966e-02,5.994945735975634390e-04
1.847294110000000100e-02,5.994812604666948860e-04
1.880782519999999944e-02,5.994413228525630796e-04
1.924527490000000132e-02,5.993880768499160400e-04
1.935309240000000069e-02,5.993747660901973130e-04
2.009162109999999835e-02,5.992815990699848190e-04
2.019492059999999922e-02,5.992682906809927539e-04
2.039995039999999843e-02,5.992416747919340585e-04
2.050169640000000168e-02,5.992283672918546347e-04
2.080394890000000080e-02,5.991884465693360449e-04
2.100303430000000082e-02,5.991618342356930769e-04
2.129817330000000064e-02,5.991219179571463703e-04
2.168544450000000137e-02,5.990687003997234800e-04
2.197141860000000058e-02,5.990287903419005792e-04
2.206591980000000008e-02,5.990154875816879661e-04
2.243994499999999934e-02,5.989622795026191583e-04
2.253248119999999924e-02,5.989489782232649499e-04
2.280783739999999934e-02,5.989090761620933503e-04
2.307990860000000075e-02,5.988691767661119764e-04
2.325952140000000015e-02,5.988425786493648982e-04
2.379022509999999951e-02,5.987627914053035658e-04
2.387752890000000017e-02,5.987494945675395737e-04
2.447993949999999891e-02,5.986564249923206687e-04
2.456479220000000116e-02,5.986431305227981302e-04
2.464935279999999965e-02,5.986298363492755783e-04
2.481760959999999849e-02,5.986032488902037632e-04
2.490131170000000130e-02,5.985899556046426822e-04
2.523334379999999863e-02,5.985367854220729643e-04
2.556106320000000112e-02,5.984836199746611501e-04
2.580412149999999905e-02,5.984437489962961265e-04
2.596489630000000173e-02,5.984171698235686869e-04
2.612468180000000056e-02,5.983905918343960205e-04
2.651993379999999928e-02,5.983241520391531986e-04
2.659827940000000085e-02,5.983108649676564285e-04
2.683194360000000153e-02,5.982710055281488396e-04
2.721692649999999866e-02,5.982045790451918617e-04
2.736940339999999888e-02,5.981780105225306459e-04
2.744532419999999931e-02,5.981647267048575186e-04
2.774693010000000085e-02,5.981115943917228190e-04
2.834051430000000121e-02,5.980053439603662431e-04
2.841384049999999897e-02,5.979920639870927408e-04
2.855992799999999832e-02,5.979655049275656858e-04
2.863269220000000045e-02,5.979522258412992312e-04
2.884988380000000005e-02,5.979123903564192034e-04
2.899377430000000047e-02,5.978858348446944998e-04
2.920828110000000047e-02,5.978460037942746495e-04
2.942122390000000143e-02,5.978061754042886299e-04
2.970277299999999829e-02,5.977530750224570181e-04
3.012016249999999867e-02,5.976734333163171353e-04
3.032670299999999999e-02,5.976336164528305971e-04
3.059992200000000162e-02,5.975805314384697361e-04
3.066784640000000048e-02,5.975672609235756260e-04
3.087072290000000135e-02,5.975274511516606669e-04
3.107227489999999856e-02,5.974876440387607516e-04
3.113916889999999993e-02,5.974743755919849960e-04
3.120591959999999970e-02,5.974611074406319979e-04
3.166923519999999964e-02,5.973682386523461799e-04
3.173487090000000344e-02,5.973549728641079854e-04
3.186573689999999681e-02,5.973284421737115428e-04
3.193096869999999948e-02,5.973151772715343212e-04
3.225514909999999819e-02,5.972488571906279251e-04
3.263991580000000226e-02,5.971692828386110808e-04
3.270360349999999749e-02,5.971560214800849089e-04
