q,I
2.039995199999999811e-03,3.287620453271395456e-03
2.884988900000000096e-03,3.287546203043781572e-03
4.079990399999999622e-03,3.287397707976931049e-03
4.561568000000000220e-03,3.287323463137596831e-03
5.769977800000000191e-03,3.287100739395412349e-03
6.119985599999999866e-03,3.287026501739833458e-03
6.451031299999999968e-03,3.286952265880036840e-03
7.355307299999999833e-03,3.286729569075080848e-03
8.159980799999999243e-03,3.286506888430902867e-03
8.411115699999999196e-03,3.286432665140519207e-03
8.654966599999999385e-03,3.286358443645509726e-03
9.123135799999999504e-03,3.286210006041857899e-03
1.019997589999999989e-02,3.285838943449721251e-03
1.040197520000000000e-02,3.285764736316820929e-03
1.098571020000000016e-02,3.285542125687713512e-03
1.153995529999999985e-02,3.285319531212521973e-03
1.189511369999999950e-02,3.285171143869777127e-03
1.223997100000000053e-02,3.285022763705952500e-03
1.240880609999999926e-02,3.284948576315702400e-03
1.290206219999999980e-02,3.284726024911914077e-03
1.306234239999999949e-02,3.284651844699166493e-03
1.368470339999999959e-02,3.284355141792678380e-03
1.427996599999999984e-02,3.284058467593024486e-03
1.442494390000000071e-02,3.283984303527678027e-03
1.471061409999999993e-02,3.283835980778937371e-03
1.485138870000000076e-02,3.283761822096121271e-03
1.553614000000000037e-02,3.283391055584812881e-03
1.593287120000000043e-02,3.283168617200595257e-03
1.631996089999999955e-02,3.282946194959075054e-03
1.644696630000000090e-02,3.282872057797466079e-03
1.682223050000000025e-02,3.282649657073942028e-03
1.730993239999999850e-02,3.282353147877182294e-03
1.742972569999999902e-02,3.282279025061782003e-03
1.754870130000000042e-02,3.282204904037277701e-03
1.824627070000000087e-02,3.281760215543668303e-03
1.835995569999999966e-02,3.281686107070314225e-03
1.847294110000000100e-02,3.281612000387862643e-03
1.880782519999999944e-02,3.281389691093968084e-03
1.924527490000000132e-02,3.281093303795267705e-03
1.935309240000000069e-02,3.281019211452471888e-03
2.009162109999999835e-02,3.280500615218912269e-03
2.019492059999999922e-02,3.280426537208610844e-03
2.039995039999999843e-02,3.280278386567506057e-03
2.050169640000000168e-02,3.280204313935843573e-03
2.080394890000000080e-02,3.279982106783469083e-03
2.100303430000000082e-02,3.279833977637089566e-03
2.129817330000000064e-02,3.279611797357569278e-03
2.168544450000000137e-02,3.279315582056132120e-03
2.197141860000000058e-02,3.279093439390505169e-03
2.206591980000000008e-02,3.279019395414502127e-03
2.243994499999999934e-02,3.278723237430090660e-03
2.253248119999999924e-02,3.278649202409499985e-03
2.280783739999999934e-02,3.278427108089738105e-03
2.307990860000000075e-02,3.278205029882380606e-03
2.325952140000000015e-02,3.278056986700595473e-03
2.379022509999999951e-02,3.277612900111144100e-03
2.387752890000000017e-02,3.277538891947330644e-03
2.447993949999999891e-02,3.277020884901715551e-03
2.456479220000000116e-02,3.276946891049704273e-03
2.464935279999999965e-02,3.276872898990543150e-03
2.481760959999999849e-02,3.276724920245214188e-03
2.490131170000000130e-02,3.276650933548721275e-03
2.523334379999999863e-02,3.276355004685903901e-03
2.556106320000000112e-02,3.276059104440330518e-03
2.580412149999999905e-02,3.275837198046966173e-03
2.596489630000000173e-02,3.275689269387656744e-03
2.612468180000000056e-02,3.275541347889750297e-03
2.651993379999999928e-02,3.275171575451039582e-03
2.659827940000000085e-02,3.275097626326722508e-03
2.683194360000000153e-02,3.274875789690134906e-03
2.721692649999999866e-02,3.274506097720126206e-03
2.736940339999999888e-02,3.274358233443850404e-03
2.744532419999999931e-02,3.274284303986083403e-03
2.774693010000000085e-02,3.273988604054281666e-03
2.834051430000000121e-02,3.273397289986648782e-03
2.841384049999999897e-02,3.273323383776087156e-03
2.855992799999999832e-02,3.273175576714707369e-03
2.863269220000000045e-02,3.273101675861519576e-03
2.884988380000000005e-02,3.272879984020305149e-03
2.899377430000000047e-02,3.272732198389613316e-03
2.920828110000000047e-02,3.272510533366605832e-03
2.942122390000000143e-02,3.272288884408633934e-03
2.970277299999999829e-02,3.271993377496332754e-03
3.012016249999999867e-02,3.271550170700411077e-03
3.032670299999999999e-02,3.271328591419948601e-03
3.059992200000000162e-02,3.271033177385292666e-03
3.066784640000000048e-02,3.270959328351958403e-03
3.087072290000000135e-02,3.270737791933278193e-03
3.107227489999999856e-02,3.270516271577898846e-03
3.113916889999999993e-02,3.270442435028125209e-03
3.120591959999999970e-02,3.270368600281840354e-03
3.166923519999999964e-02,3.269851806957534048e-03
3.173487090000000344e-02,3.269777986465166684e-03
3.186573689999999681e-02,3.269630350867637827e-03
3.193096869999999948e-02,3.269556535753063726e-03
3.225514909999999819e-02,3.269187486919113757e-03
3.263991580000000226e-02,3.268744687227465549e-03
3.270360349999999749e-02,3.268670893522006380e-03
3.289392669999999935e-02,3.268449523103572705e-03
3.295712349999999763e-02,3.268375736533899421e-03
3.320870809999999784e-02,3.268080608101884416e-03
